Time (s),X position (m),Y position (m),Z position (m),Rocket axis vector X,Rocket axis vector Y,Rocket axis vector Z,Velocity Vx  (m/s),Velocity Vy  (m/s),Velocity Vz  (m/s),angular velocity omegaX (rad/s),angular velocity omegaY (rad/s),angular velocity omegaZ (rad/s),Acceleration Ax (m/s2),Acceleration Ay (m/s2),Acceleration Az (m/s2),Angular Acceleration X (rad/s2),Angular Acceleration Y (rad/s2),Angular Acceleration Z (rad/s2),Angle of attack alpha (rad),alpha at CP (rad),Moment arm (m),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Thrust (N),Mass (kg),C.O.M distance from nose (m),Ixx (kg m2),Iyy (kg m2),Izz (kg m2),Windspeed X (m/s),Windspeed Y (m/s),atmospheric density (kg/m3),atmospheric temperature (K),
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21683,0,0,0,0,0,0,0,5.6918,1.3695,1.7863,1.7863,0.00091691,0,0,1.2395,285.0967,
0.00053904,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21684,0,0,0,0,0,0,8.3081,5.6917,1.3695,1.7862,1.7862,0.00091686,0,0,1.2395,285.0967,
0.0010781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21685,0,0,0,0,0,0,16.6162,5.6915,1.3695,1.7862,1.7862,0.00091681,0,0,1.2395,285.0967,
0.0016171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21686,0,0,0,0,0,0,24.9243,5.6914,1.3695,1.7862,1.7862,0.00091676,0,0,1.2395,285.0967,
0.0021561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21687,0,0,0,0,0,0,33.2324,5.6913,1.3695,1.7861,1.7861,0.00091671,0,0,1.2395,285.0967,
0.0023493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21688,0,0,0,0,0,0,36.21,5.6912,1.3695,1.7861,1.7861,0.00091669,0,0,1.2395,285.0967,
0.0025425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21688,0,0,0,0,0,0,39.1876,5.6912,1.3695,1.7861,1.7861,0.00091667,0,0,1.2395,285.0967,
0.0027357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21689,0,0,0,0,0,0,42.1652,5.6911,1.3695,1.7861,1.7861,0.00091665,0,0,1.2395,285.0967,
0.0029289,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21689,0,0,0,0,0,0,45.1428,5.691,1.3695,1.7861,1.7861,0.00091664,0,0,1.2395,285.0967,
0.003017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21689,0,0,0,0,0,0,46.5002,5.691,1.3695,1.7861,1.7861,0.00091663,0,0,1.2395,285.0967,
0.003105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,47.8577,5.691,1.3695,1.7861,1.7861,0.00091662,0,0,1.2395,285.0967,
0.0031931,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,49.2151,5.691,1.3695,1.7861,1.7861,0.00091661,0,0,1.2395,285.0967,
0.0032812,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,50.5726,5.691,1.3695,1.7861,1.7861,0.0009166,0,0,1.2395,285.0967,
0.0033478,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,51.5987,5.6909,1.3695,1.7861,1.7861,0.0009166,0,0,1.2395,285.0967,
0.0034144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,52.6249,5.6909,1.3695,1.7861,1.7861,0.00091659,0,0,1.2395,285.0967,
0.0034809,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,53.6511,5.6909,1.3694,1.7861,1.7861,0.00091658,0,0,1.2395,285.0967,
0.0035475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0,0,0,0,0,54.6773,5.6909,1.3694,1.786,1.786,0.00091658,0,0,1.2395,285.0967,
0.0036141,0,0,-5.5373e-011,0,0,1,0,0,-9.589e-007,0,0,0,0,0,0,0,0,0,3.1416,3.1416,0.21691,0,0,0,0,0,0,55.7035,5.6909,1.3694,1.786,1.786,0.00091657,-22.4986,3.9937,0.15149,141.94,
0.0036807,0,0,2.5983e-012,0,0,1,0,0,3.367e-006,0,0,0,0,0,0.16698,0,0,0,0,0,0.21691,0,0,0.95026,0,0,0,56.7296,5.6909,1.3694,1.786,1.786,0.00091656,-2.2643e-013,-8.2612e-013,1.2395,285.0967,
0.0037472,0,0,7.1761e-010,0,0,1,0,0,1.9672e-005,0,0,0,0,0,0.34733,0,0,0,0,0,0.21691,0,0,1.9766,0,0,0,57.7558,5.6908,1.3694,1.786,1.786,0.00091656,-6.2535e-011,-2.2816e-010,1.2395,285.0967,
0.0038138,0,0,2.9101e-009,0,0,1,0,0,4.9173e-005,0,0,0,0,0,0.52769,0,0,0,0,0,0.21691,0,0,3.003,0,0,0,58.782,5.6908,1.3694,1.786,1.786,0.00091655,-2.536e-010,-9.2524e-010,1.2395,285.0967,
0.0038791,0,0,7.3691e-009,0,0,1,0,0,8.9385e-005,0,0,0,0,0,0.70449,0,0,0,0,0,0.21691,0,0,4.0091,0,0,0,59.788,5.6908,1.3694,1.786,1.786,0.00091655,-6.4217e-010,-2.343e-009,1.2395,285.0967,
0.0039444,0,0,1.4829e-008,0,0,1,0,0,0.00014114,0,0,0,0,0,0.8813,0,0,0,0,0,0.21691,0,0,5.0153,0,0,0,60.794,5.6908,1.3694,1.786,1.786,0.00091654,-1.2923e-009,-4.7149e-009,1.2395,285.0967,
0.0040096,0,0,2.6044e-008,0,0,1,0,0,0.00020443,0,0,0,0,0,1.0581,0,0,0,0,0,0.21691,0,0,6.0214,0,0,0,61.8,5.6908,1.3694,1.786,1.786,0.00091653,-2.2696e-009,-8.2806e-009,1.2395,285.0967,
0.0040749,0,0,4.1767e-008,0,0,1,0,0,0.00027926,0,0,0,0,0,1.2349,0,0,0,0,0,0.21692,0,0,7.0276,0,0,0,62.806,5.6908,1.3694,1.786,1.786,0.00091653,-3.6397e-009,-1.3279e-008,1.2395,285.0967,
0.0044013,0,0,2.1436e-007,0,0,1,0,0,0.00082654,0,0,0,0,0,2.119,0,0,0,0,0,0.21692,0,0,12.0584,0,0,0,67.836,5.6907,1.3694,1.786,1.786,0.0009165,-1.868e-008,-6.8154e-008,1.2395,285.0967,
0.0047276,0,0,6.1264e-007,0,0,1,0,0,0.0016623,0,0,0,0,0,3.0031,0,0,0,0,0,0.21693,0,0,17.0892,0,0,0,72.8659,5.6906,1.3694,1.786,1.786,0.00091646,-5.3387e-008,-1.9478e-007,1.2395,285.0967,
0.005054,0,0,1.3308e-006,0,0,1,0,0,0.0027867,0,0,0,0,0,3.8872,0,0,0,0,0,0.21694,0,0,22.12,0,0,0,77.8959,5.6905,1.3694,1.786,1.786,0.00091643,-1.1597e-007,-4.2311e-007,1.2395,285.0967,
0.0053803,0,0,2.4629e-006,0,0,1,0,0,0.0041996,0,0,0,0,0,4.7713,0,0,0,0,0,0.21694,0,0,27.1508,0,0,0,82.9259,5.6904,1.3694,1.7859,1.7859,0.0009164,-2.1463e-007,-7.8306e-007,1.2395,285.0967,
0.0070121,0,0,1.763e-005,0,0,1,0,0,0.015593,0,0,0,0,0,9.1924,0,0,0,0,0,0.21698,0,0,52.3049,0,0,0,108.0757,5.69,1.3694,1.7858,1.7858,0.00091625,-1.5363e-006,-5.6053e-006,1.2395,285.0967,
0.0086438,0,0,5.7275e-005,0,0,1,0,0,0.034202,0,0,0,0,0,13.6142,0,0,0,0,0,0.21701,0,0,77.4589,0,0,0,133.2256,5.6896,1.3693,1.7857,1.7857,0.00091609,-4.9911e-006,-1.821e-005,1.2395,285.0967,
0.010276,0,0,0.00013317,0,0,1,0,0,0.060028,0,0,0,0,0,18.0366,0,0,0,0,0,0.21705,0,0,102.6129,0,0,0,158.3754,5.6891,1.3693,1.7856,1.7856,0.00091594,-1.1605e-005,-4.2342e-005,1.2395,285.0967,
0.011907,0,0,0.0002571,0,0,1,0,0,0.093074,0,0,0,0,0,22.4597,0,0,0,0,0,0.21708,0,0,127.7669,0,0,0,183.5253,5.6887,1.3693,1.7855,1.7855,0.00091578,-2.2405e-005,-8.1744e-005,1.2395,285.0967,
0.020066,0,0,0.0020097,0,0,1,0,0,0.36664,0,0,0,0,0,44.5851,0,0,0,0,0,0.21726,0,0,253.5367,0,0,0,309.2746,5.6866,1.3691,1.785,1.785,0.00091501,-0.00017513,-0.00063896,1.2395,285.0967,
