Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.2038899125006119010147134634,0.203889912500612,0.203889912500612,0.203889912500612,0.203889912500612,0,0,0,0,2,6.65,6.65,389356
0.02,0,0.2185711072639012300795800517,0.218571107263901,0.218571107263901,0.218571107263901,0.218571107263901,0,0,0,0,2,6.65,6.65,778712.1
0.03,0,0.2349955571337428249784588830,0.234995557133743,0.234995557133743,0.234995557133743,0.234995557133743,0,0,0,0,2,6.65,6.65,1168068
0.04,0,0.2412878915290059827632222741,0.241287891529006,0.241287891529006,0.241287891529006,0.241287891529006,0,0,0,0,2,6.65,6.65,1557424
0.05,0,0.2438345665847527905834064932,0.243834566584753,0.243834566584753,0.243834566584753,0.243834566584753,0,0,0,0,2,6.65,6.65,1946780
0.06,0,0.2447308084375774304078745246,0.244730808437577,0.244730808437577,0.244730808437577,0.244730808437577,0,0,0,0,2,6.65,6.65,2336136
0.07,0,0.2448175636327452368046611541,0.244817563632745,0.244817563632745,0.244817563632745,0.244817563632745,0,0,0,0,2,6.65,6.65,2725492
0.08,0,0.2444816729349265826151591298,0.244481672934927,0.244481672934927,0.244481672934927,0.244481672934927,0,0,0,0,2,6.65,6.65,3114848
0.09,0,0.2439185846326332789306072636,0.243918584632633,0.243918584632633,0.243918584632633,0.243918584632633,0,0,0,0,2,6.65,6.65,3504204
0.10,0,0.2432338303326605849408548216,0.243233830332661,0.243233830332661,0.243233830332661,0.243233830332661,0,0,0,0,2,6.65,6.65,3893560
0.11,0,0.2424871589518190209766035355,0.242487158951819,0.242487158951819,0.242487158951819,0.242487158951819,0,0,0,0,2,6.65,6.65,4282916
0.12,0,0.2417135325556714958576109843,0.241713532555672,0.241713532555672,0.241713532555672,0.241713532555672,0,0,0,0,2,6.65,6.65,4672272
