# Simulation 1 (Up to date)
# 1224 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-9.2428,0,9.2428,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16051,3829.8,9.4182,0.037235,NaN,144.46,NaN,0.0057389,325578,9.0909,0,0.62613,0,0.50613,7.7532e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0012349
0.01,0,0,-8.11,0,8.11,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16051,3829.8,9.4182,0.037235,NaN,144.46,NaN,0.0058427,331466,27.273,0,0.62412,0,0.50411,8.0361e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0014733
0.02,0,0,-6.9772,0,6.9772,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16050,3829.4,9.418,0.037235,NaN,144.46,NaN,0.0059465,337353,45.455,0,0.62215,0,0.50214,8.3242e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0017583
0.03,0,0,-5.8443,0,5.8443,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16050,3829.1,9.4179,0.037235,NaN,144.46,NaN,0.0060503,343241,63.636,0,0.62022,0,0.50021,8.6173e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0023222
0.04,0,0,-4.7114,0,4.7114,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16050,3828.7,9.4177,0.037234,NaN,144.46,NaN,0.0061541,349129,81.818,0,0.61834,0,0.49833,8.9154e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0026418
0.05,0,0,0.95313,0,0.95313,0,0,0,0,0,0,48.471,-123.32,9.8092,90,0,0,0,16049,3828.3,9.4175,0.037234,NaN,144.46,NaN,0.0062579,355017,172.73,0,0.6165,0,0.49649,9.2187e-7,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0028623
0.06,4.7686e-5,0.0095386,33.81,0.0095386,33.81,0,0,0,0,0,0,48.471,-123.32,9.8092,89.739,0,0,0,16048,3827,9.4169,0.037233,NaN,144.45,NaN,0.0061525,349042,700,0,0.61836,1.4678e-7,0.49836,8.911e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.2232e-7,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.003077
0.07,0.0018339,0.34771,70.931,0.34771,70.931,0,0,0,0,0,0,48.471,-123.32,9.8092,80.406,0,0,0,16045,3823.8,9.4153,0.037231,NaN,144.44,NaN,0.0061329,347927,1295.5,1.8724e-4,0.61872,0.0065837,0.49871,8.8542e-7,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3621e-5,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0032782
0.08,0.0088589,1.0574,107.82,1.0574,107.82,0,0,0,0,0,0,48.471,-123.32,9.8092,62.385,0,0,0,16036,3815.5,9.4114,0.037225,NaN,144.41,NaN,0.0067056,380420,1886.4,0.004175,0.609,0.1228,0.48899,1.0585e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0224e-4,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0034782
0.09,0.024827,2.1363,131.92,2.1363,131.92,0,0,0,0,0,0,48.471,-123.32,9.8092,42.903,0,0,0,16024,3803,9.4054,0.037216,NaN,144.35,NaN,0.0085733,486377,2271,0.023379,0.58367,0.42067,0.46366,1.7303e-6,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0657e-4,11.684,107.22,90,0,NaN,14.649,1006.9,340.18,0.01,0.0037219
