Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4884345,0,11.53143,39,0,0,57.47619,66.93916,2.057166,-22.7347347783607,-22.7129775032943,0.994393472047415,0.227347372702146,-0.2271298,0.009943934,84,84,0,0.00004971967
0.02,S,0.02,0.010,0,0.4884345,0,15.61887,38.99985,0.000002288941,0,57.45238,66.93916,2.062342,-19.4061674058924,-19.3593716302004,1.34687173454362,0.421374436402345,-0.4207235,0.02341265,84,84,0,0.0002165026
0.03,S,0.03,0.010,0,0.4884345,0,19.7063,38.99939,0.00000786305,0,57.42857,66.93916,2.067518,-16.0955776163026,-16.0056170109864,1.69936544040567,0.582183587663381,-0.5807797,0.04040631,84,84,0,0.0005355974
0.04,S,0.04,0.010,0,0.4884345,0,23.79374,38.99863,0.00001500979,0,57.40477,66.93916,2.072693,-12.816943427974,-12.6516328303786,2.05188341802659,0.709915138885667,-0.707296,0.06092514,84,84,0,0.001042255
0.05,S,0.05,0.010,0,0.4884345,0,27.88118,38.99757,0.00002231863,0,57.38096,66.93916,2.077869,-9.60322163425408,-9.29734176490296,2.40443379264155,0.804767622156445,-0.8002694,0.08496948,84,84,0,0.001771728
0.05999999,S,0.05999999,0.010,0,0.4884345,0,97.36753,38.99621,0.00002868109,0,57.35715,66.93916,2.083045,48.4526057080951,47.7194204487881,8.39713712737352,0.364580002053678,-0.3230752,0.1689408,84,84,0,0.003041279
0.06999999,S,0.06999999,0.010,0,0.4884345,0,232.2529,38.99334,0.000005886273,0,57.33334,66.93916,2.088221,159.673117512281,158.411644493716,20.0313590374513,1.31399133299369,1.261041,0.3692544,84,84,0.004689829,0.005732255
0.07999999,S,0.07999999,0.010,0,0.4884345,0,365.0946,38.98167,0.00007646095,0,57.30953,66.93916,2.093396,269.35843498354,267.510440719604,31.4981047490998,3.99517405109754,3.936145,0.6842355,84,84,0.03067576,0.0109997
0.08999999,S,0.08999999,0.010,0,0.4884346,0,497.9362,38.96009,0.0007068475,0,57.28572,66.93916,2.098572,379.221983995102,376.778195313975,42.9826090544265,7.78406225909164,7.703927,1.114062,84,84,0.08887612,0.01999119
0.09999999,S,0.09999999,0.010,0,0.4884349,0,514.8701,38.92867,0.002683282,0,57.26192,66.93916,2.103748,393.547302331993,391.025577956891,44.4800692026002,11.718328851064,11.61418,1.558863,84,84,0.1854666,0.03335582
0.11,S,0.11,0.01010437,0,0.4867961,0,502.8269,38.89084,0.006060713,0,57.23811,66.93916,2.108924,383.995525766185,381.525771531536,43.4815991623472,15.5577111058978,15.42944,1.993679,84,84,0.3206847,0.05111853
0.12,S,0.12,0.01341497,0,0.4541188,0,490.7836,38.85369,0.009965612,0,57.2143,66.93916,2.114099,374.417666848008,372.000006411753,42.4804010993455,19.3015572539157,19.14944,2.418483,84,84,0.4935791,0.07317933
0.13,S,0.13,0.01664319,0,0.4678507,0,490.7837,38.81743,0.01580273,0,57.19049,66.93916,2.119275,374.792478993302,372.37278034224,42.5195810202171,23.0492606351431,22.87317,2.843679,84,84,0.7036922,0.09949014
0.14,S,0.14,0.01987474,0,0.4753028,0,490.7839,38.78162,0.02289398,0,57.16668,66.93916,2.124451,375.162367424068,372.740657252492,42.5582467003994,26.8007261666485,26.60058,3.269261,84,84,0.951061,0.1300548
